#1        2   3   4   5 6        7         8               9       10               11                    12        13      14        15
#name     iZ  ne  nv  npi color     Rcov[Ang] RvdW[Ang] EvdW[eV]        Quff[e] Uuff[eV]        Vuff[eV]       QEq{ Eaff[eV] Ehard[eV] Ra[Ang] eta[a.u.] } 
E       200   0   0   0   0x00FFFF  0.5       0.5       0.001           0.000   0.0             0.0
H         1   1   1   0   0xE0FFFF  0.354     1.4430    0.00190802059   0.712   0.00000000000   0.00000000000         -4.528   13.8904   0.371    1.0698
He        2   2   0   0   0xFFC0CB  0.849     1.1810    0.00242838984   0.098   0.00000000000   0.00000000000
Li        3   1   1   0   0xB22222  1.336     1.2255    0.00108410261   1.026   0.08672820848   0.00000000000         -3.006    4.772    1.557    0.4174
Be        4   2   2   0   0xFF1493  1.074     1.3725    0.00368594886   1.565   0.08672820848   0.00000000000
B         5   3   3   1   0x00FF00  0.838     2.0415    0.00780553876   1.755   0.08672820848   0.00000000000
C         6   4   4   2   0x909090  0.757     1.9255    0.00455323095   1.912   0.08672820848   0.09188853689         -5.343   10.126    0.759    0.8563
N         7   5   3   2   0x3050F8  0.700     1.8300    0.00299212319   2.544   0.08672820848   0.01951384691         -6.899   11.760    0.715    0.9089
O         8   6   2   1   0xFF0D0D  0.658     1.7500    0.00260184625   2.300   0.08672820848   0.00078055388         -8.741   13.364    0.669    0.9745
F         9   7   1   0   0x1FF01F  0.668     1.6820    0.00216820521   1.735   0.08672820848   0.00000000000        -10.874   14.948    0.706    0.9206
Ne       10   8   0   0   0xFF1493  0.920     1.6215    0.00182129238   0.194   0.08672820848   0.00000000000
Na       11   1   1   0   0xAB5CF2  1.539     1.4915    0.00130092313   1.081   0.05420513030   0.00000000000         -2.843    4.592    2.085    0.4364
Mg       12   2   2   0   0x228B22  1.421     1.5105    0.00481341557   1.787   0.05420513030   0.00000000000
Al       13   3   3   0   0x808090  1.244     2.2495    0.02189887264   1.792   0.05420513030   0.00000000000
Si       14   4   4   0   0xDAA520  1.117     2.1475    0.01743236991   2.323   0.05420513030   0.05312102770         -4.168    6.974    1.176    0.7737
P        15   3   3   1   0xFFA500  1.101     2.0735    0.01322605179   2.863   0.05420513030   0.10407385018         -5.463    8.000    1.102    0.8257
S        16   2   2   2   0xFFC832  1.064     2.0175    0.01188176456   2.703   0.05420513030   0.02098822645         -6.928    8.972    1.047    0.8690
Se       34   2   2   2   0xFFA100  1.064     2.0175    0.01188176456   2.703   0.05420513030   0.02098822645         -6.928    8.972    1.047    0.8690
Cl       17   7   1   3   0x1FF01F  1.044     1.9735    0.00984365166   2.348   0.05420513030   0.00000000000         -8.564    9.892    0.994    0.9154
Br       35   7   1   3   0x1FF01F  1.149     2.0000    0.01188176456   2.348   0.05420513030   0.00000000000         -8.564    9.892    0.994    0.9154
